"V1","V2","V3","V4","V5"
0.976614989468932,0.00097252950311692,0.000723380303472302,0.0016385153055458,0.0200505854189325
0.841688739349636,0.0021486120829614,0.00711289077437767,0.00285687446705139,0.146192883325974
0.0503766938923208,0.869408451320083,0.0150862047454591,0.00809453826614707,0.0570341117759902
0.175534866482303,0.454164181868723,0.0237006497998187,0.0114402997680297,0.335160002081125
0.0338364786362911,0.140579112932606,0.0885299621030371,0.720424496116003,0.016629950212062
0.152843192827363,0.562476463541536,0.126878161809976,0.0344250381591394,0.123377143661986
0.00888604985163433,0.100813751462799,0.00497588628796488,0.34927549274147,0.536048819656132
0.0114973575082681,0.540377249471392,0.00910750514776181,0.00508359551718909,0.433934292355389
0.994177132873907,0.0018459585602267,0.00107092226132391,0.00190286561453364,0.0010031206900087
0.994946443513272,0.00167766561325512,0.00098168893301331,0.00146633670723265,0.000927865233226626
0.290331076808782,0.00140014680742567,0.00566798374034832,0.00511904772513788,0.697481744918306
0.0404466343634848,0.0238584167748923,0.0770482752934439,0.00866607710029228,0.849980596467887
0.879032680954335,0.058691751742202,0.00494473951138906,0.0456759714888556,0.0116548563032187
0.0136214654542382,0.557714784329174,0.00884662636834126,0.0062884761107902,0.413528647737456
0.135726496613609,0.497049316956758,0.0710313646861548,0.122922196930782,0.173270624812696
0.136300850311021,0.245587938181374,0.0495661337390734,0.00425222054835776,0.564292857220174
0.00645883041112931,0.504429912480758,0.334258400372237,0.00390957764825827,0.150943279087617
0.00229693357213579,0.00281892317699632,0.0694695892396667,0.00600366607099132,0.91941088794021
0.0171994197704047,0.770301702895646,0.0170654185614938,0.0372681032421905,0.158165355530265
0.0480651242060462,0.261956714873309,0.195388902236251,0.452620681426794,0.0419685772575996
0.22474265249267,0.0573193487211528,0.167621061119099,0.437078286625488,0.113238651041591
0.0332072303545386,0.172929215869124,0.00407162097532882,0.00351923388651305,0.786272698914495
0.00916257566142535,0.350881138178858,0.00448407583789611,0.0404242629367902,0.59504794738503
0.0480651242060462,0.261956714873309,0.195388902236251,0.452620681426794,0.0419685772575996
0.00758549529204879,0.173014050523858,0.719337640874374,0.0952273838199869,0.00483542948973283
0.00387242185857945,0.00508667821597826,0.175009982251729,0.807846059833801,0.00818485783991191
0.00707242320181556,0.464059763645393,0.374612327806076,0.004526004164681,0.149729481182035
