"V1","V2","V3"
0.00352735564376039,0.00202199094130981,0.99445065341493
0.011941634781401,0.00410763512046978,0.983950730098129
0.00677103696004349,0.979364737762053,0.0138642252779039
0.0339962007826715,0.557901853128102,0.408101946089227
0.627071328786482,0.284879693543012,0.088048977670506
0.151188526256446,0.637868523218172,0.210942950525382
0.151188526256446,0.637868523218172,0.210942950525382
0.0183613128514692,0.928506277543155,0.053132409605376
0.00677103696004349,0.979364737762053,0.0138642252779039
0.0251682343371117,0.694552519994258,0.28027924566863
0.00272328174994473,0.0047687414767415,0.992507976773314
0.00272328174994473,0.0047687414767415,0.992507976773314
0.00236171230890689,0.00486366488644803,0.992774622804645
0.0183613128514692,0.928506277543155,0.053132409605376
0.0183613128514692,0.928506277543155,0.053132409605376
0.00491821328643252,0.00152964015128681,0.993552146562281
0.0834537752975246,0.018034293871246,0.898511930831229
0.0834537752975246,0.018034293871246,0.898511930831229
0.00675066566746291,0.0355131350874334,0.957736199245104
0.00675066566746291,0.0355131350874334,0.957736199245104
0.00491821328643252,0.00152964015128681,0.993552146562281
0.0169607178921218,0.740364948742977,0.242674333364901
0.0169607178921218,0.740364948742977,0.242674333364901
0.13484877749271,0.576867365705643,0.288283856801647
0.0625087309647863,0.259954110340414,0.6775371586948
0.0625087309647863,0.259954110340414,0.6775371586948
0.286489973439499,0.675698960649877,0.037811065910624
0.286489973439499,0.675698960649877,0.037811065910624
0.13484877749271,0.576867365705643,0.288283856801647
0.0863336368075958,0.0176149750938359,0.896051388098568
0.0863336368075958,0.0176149750938359,0.896051388098568
0.0648500476687415,0.816800602552245,0.118349349779013
0.0648500476687415,0.816800602552245,0.118349349779013
0.0071457905434855,0.208820274104098,0.784033935352417
0.0071457905434855,0.208820274104098,0.784033935352417
0.0628349040199521,0.893034982754034,0.0441301132260139
0.0628349040199521,0.893034982754034,0.0441301132260139
0.991164010479266,0.00412923573028427,0.00470675379044952
0.991164010479266,0.00412923573028427,0.00470675379044952
0.99018339210542,0.00334008167958343,0.00647652621499662
0.99018339210542,0.00334008167958343,0.00647652621499662
0.329780730720997,0.631298241851421,0.0389210274275824
0.296941039176765,0.668484616687324,0.034574344135911
