ID,FID,Status,Score,Match_type,Side,Match_addr,ARC_Street,ARC_Zone,address,latitude,longitude,name,desc_,source,precision
1584,1583,M,86,A,L,"42 51 28TH ST, 4",42-09 28th Street,4,42-09 28th Street,40.749632,-73.939083,42-09 28th Street,"42-09 28th St, Long Island City, NY 11101",Bing Maps,address
1585,1584,M,86,A,L,"42 51 28TH ST, 4",42-09 28th Street,4,42-09 28th Street,40.749632,-73.939083,42-09 28th Street,"42-09 28th St, Long Island City, NY 11101",Bing Maps,address
1586,1585,M,86,A,R,"150 WILLIAM ST, 1",150 William Street,1,150 William Street,40.709713,-74.006218,150 William Street,"150 William St, New York, NY 10038",Bing Maps,address
1587,1586,T,86,A,R,"100 GOLD ST, 1",100 Gold Street,1,100 Gold Street,40.710159,-74.00322,100 Gold Street,"100 Gold St, New York, NY 10038",Bing Maps,address
1588,1587,T,86,A,R,"100 GOLD ST, 1",100 Gold Street,1,100 Gold Street,40.710159,-74.00322,100 Gold Street,"100 Gold St, New York, NY 10038",Bing Maps,address
1589,1588,T,86,A,L,"180 WATER ST, 1",180 Water Street,1,180 Water Street,40.706982,-74.005585,180 Water Street,"180 Water St, New York, NY 10038",Bing Maps,address
1590,1589,M,86,A,L,"1309 FULTON AVE, 2",1309 Fulton Ave Bronx,2,1309 Fulton Ave Bronx,40.832707,-73.903169,1309 Fulton Ave Bronx,"1309 Fulton Ave, Bronx, NY 10456",Bing Maps,address
1591,1590,M,86,A,R,"150 WILLIAM ST, 1",150 William Street,1,150 William Street,40.709713,-74.006218,150 William Street,"150 William St, New York, NY 10038",Bing Maps,address
1592,1591,M,86,A,R,"150 WILLIAM ST, 1",150 William Street,1,150 William Street,40.709713,-74.006218,150 William Street,"150 William St, New York, NY 10038",Bing Maps,address
1593,1592,M,86,A,R,"150 WILLIAM ST, 1",150 William Street,1,150 William Street,40.709713,-74.006218,150 William Street,"150 William St, New York, NY 10038",Bing Maps,address
1594,1593,T,86,A,R,"55 WATER ST, 1",55 Water St Ny Ny,1,55 Water St Ny Ny,40.703041,-74.009407,55 Water St Ny Ny,"55 Water St, New York, NY 10004",Bing Maps,address
1595,1594,T,86,A,R,"55 WATER ST, 1",55 Water St Ny Ny,1,55 Water St Ny Ny,40.703041,-74.009407,55 Water St Ny Ny,"55 Water St, New York, NY 10004",Bing Maps,address
1596,1595,T,86,A,R,"66 JOHN ST, 1",66 John Street,1,66 John Street,40.708641,-74.008003,66 John Street,"66 John St, New York, NY 10038",Bing Maps,address
1597,1596,T,86,A,R,"66 JOHN ST, 1",66 John Street,1,66 John Street,40.708641,-74.008003,66 John Street,"66 John St, New York, NY 10038",Bing Maps,address
1598,1597,M,86,A,L,"1309 FULTON AVE, 2",1309 Fulton Ave Bronx,2,1309 Fulton Ave Bronx,40.832707,-73.903169,1309 Fulton Ave Bronx,"1309 Fulton Ave, Bronx, NY 10456",Bing Maps,address
1599,1598,M,86,A,L,"42 51 28TH ST, 4",42-09 28th Street,4,42-09 28th Street,40.749632,-73.939083,42-09 28th Street,"42-09 28th St, Long Island City, NY 11101",Bing Maps,address
1600,1599,M,86,A,L,"42 51 28TH ST, 4",42-09 28th Street,4,42-09 28th Street,40.749632,-73.939083,42-09 28th Street,"42-09 28th St, Long Island City, NY 11101",Bing Maps,address
