ID,FID,Status,Score,Match_type,Side,Match_addr,ARC_Street,ARC_Zone,address,latitude,longitude,name,desc_,source,precision
1419,1418,M,86,A,L,"42 51 28TH ST, 4",42-09 28th Street,4,42-09 28th Street,40.749632,-73.939083,42-09 28th Street,"42-09 28th St, Long Island City, NY 11101",Bing Maps,address
1420,1419,M,67,A,R,"110 WILLIAM ST, 1",110 William St. N Y,1,110 William St. N Y,40.708767,-74.006729,110 William St. N Y,"110 William St, New York, NY 10038",Bing Maps,address
1421,1420,M,67,A,R,"110 WILLIAM ST, 1",110 William St. N Y,1,110 William St. N Y,40.708767,-74.006729,110 William St. N Y,"110 William St, New York, NY 10038",Bing Maps,address
1422,1421,T,86,A,R,"470 VANDERBILT AVE, 3",470 Vanderbilt Ave,3,470 Vanderbilt Ave,40.683077,-73.967854,470 Vanderbilt Ave,"470 Vanderbilt Ave, Brooklyn, NY 11238",Bing Maps,address
1423,1422,M,86,A,L,"15 METROTECH, 3",15 Metrotech,3,15 Metrotech,40.692796,-73.986176,15 Metrotech,"15 Lawrence St, Brooklyn, NY 11201",Bing Maps,address
1424,1423,M,86,A,L,"42 51 28TH ST, 4",42-09 28th Street,4,42-09 28th Street,40.749632,-73.939083,42-09 28th Street,"42-09 28th St, Long Island City, NY 11101",Bing Maps,address
1425,1424,M,86,A,L,"42 51 28TH ST, 4",42-09 28th Street,4,42-09 28th Street,40.749632,-73.939083,42-09 28th Street,"42-09 28th St, Long Island City, NY 11101",Bing Maps,address
1426,1425,M,86,A,L,"42 51 28TH ST, 4",42-09 28th Street,4,42-09 28th Street,40.749632,-73.939083,42-09 28th Street,"42-09 28th St, Long Island City, NY 11101",Bing Maps,address
1427,1426,M,86,A,L,"59 MAIDEN LN, 1",59 Maiden Lane,1,59 Maiden Lane,40.70823,-74.008139,59 Maiden Lane,"59 Maiden Ln, New York, NY 10038",Bing Maps,address
1428,1427,U,0,A, , ,59-17 Junction Blvd Corona Ny, ,59-17 Junction Blvd Corona Ny,40.74408,-73.867668,59-17 Junction Blvd Corona Ny,"Junction Blvd, Corona, NY 11368",Bing Maps,street
1429,1428,M,86,A,L,"1309 FULTON AVE, 2",1309 Fulton Ave Bronx,2,1309 Fulton Ave Bronx,40.832707,-73.903169,1309 Fulton Ave Bronx,"1309 Fulton Ave, Bronx, NY 10456",Bing Maps,address
1430,1429,M,86,A,L,"1309 FULTON AVE, 2",1309 Fulton Ave Bronx,2,1309 Fulton Ave Bronx,40.832707,-73.903169,1309 Fulton Ave Bronx,"1309 Fulton Ave, Bronx, NY 10456",Bing Maps,address
