id,work_location
1,59 Maiden Lane
2,180 Water Street
3,"415 East 203 St, Bronx"
4,"1201 Metropolitan Ave, Bklyn"
5,"1201 Metropolitan Ave, Bklyn"
6,470 Vanderbilt Ave
7,"2389 Route 28A, Shokan, Ny"
8,"2389 Route 28A, Shokan, Ny"
9,"42 Broadway, N.Y."
10,"415 East 203 St, Bronx"
