"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
0.00226896009879786,0.00711104609148518,0.000730559431281204,0.00398771449355536,0.447655375559267,0.000317385791384358,0.0167205971694525,0.000175839253927443,0.00770090076002374,0.00248108468211642,0.000468158164396066,0.448887886637713,0.00195829443840667,0.000775914224240579,0.00383646077855949,0.0090197422384678,0.00326128185094418,0.0254772640443656,0.0169030161725601,0.000262518119056258
0.00235834070680343,0.00464851470679231,0.00036286468597973,0.00426813059309203,0.449988653564586,0.000210515521028146,0.0910633402136759,0.00250681494535272,0.0252848357145869,0.00311106944401624,0.000933749417067758,0.320552692193501,0.0052016020209644,0.000498895965744822,0.00338756931374024,0.0494682335717825,0.00141487354419817,0.00982978746014645,0.0229767180203078,0.00193279839663335
0.0317217698690472,0.00512752061863173,0.00445147097801743,0.00212435718781263,0.0058568309495647,0.00175725795820482,0.0233680139918402,0.00179803200367344,0.0117326791798011,0.005933698101463,0.460143122831639,0.0011301605864839,0.00366636613875858,0.162936748593235,0.182800468552826,0.0639956148634209,0.00231078186081109,0.00401079897818163,0.0153082332659896,0.00982607349059877
0.054465244001243,0.0149028755911158,0.00546929947727475,0.0228172274429948,0.0282656837758023,0.00139074374754824,0.0466423621024362,0.00273944381103502,0.0113116808801639,0.00196138534294916,0.064123603973337,0.00915784681851931,0.00410649396845445,0.0132141557218583,0.435512001798484,0.177588140813452,0.00484675830463046,0.0269194735650487,0.0716997158945382,0.00286586296911419
0.00728196613156138,0.00664853224516927,0.0308738333277654,0.00184056178373696,0.0455274838029358,0.00567738422395608,0.0028194806381156,0.118593316947401,0.00592090635607493,0.00334564718578099,0.0987001520676309,0.0139655182642282,0.517245603506702,0.000699207774714697,0.00864624022661375,0.0071055973434042,0.00288433646107539,0.00653570845702243,0.112256681390526,0.00343184186558568
0.030995466698399,0.0110675676821257,0.00222637481845595,0.00328137900104012,0.0579659417229475,0.0258308645922162,0.29499709711794,0.00112424615434672,0.0100970004242591,0.0855918126882094,0.154729443810366,0.00773137325431618,0.00608169229954114,0.125382025691341,0.072038149002025,0.0379552130412034,0.00178980456154705,0.00419587045534516,0.0219485961566897,0.0449700808276863
0.00134722282397921,0.00733506269770964,0.0169174863598365,0.00469952397006628,0.0056843585139142,0.00156936865213814,0.00234658025314075,0.000347812065231411,0.00577558937523516,0.000905686994326126,0.000720594142645859,0.0313665141728521,0.109060259653867,0.000390694364820472,0.0022414243574341,0.00167289499674942,0.766183458927543,0.0069942940986407,0.0341419949367582,0.000299178643111105
0.0225509329122095,0.0106234591128918,0.015797890857814,0.0716315013851122,0.0086356962914002,0.000967901338466043,0.226750021340944,0.00105749724338384,0.11174495123941,0.00722760679768739,0.00380331145991971,0.00404717012469343,0.00109575132351048,0.296950690844809,0.123681609376005,0.0359144499086591,0.027495860562204,0.00121048285642345,0.0225808890505734,0.00623232597388376
0.00012614161131799,0.000557211080609352,0.000143409158551733,7.48178171918581e-05,0.00334742276615579,0.000311798319281526,0.000506344362811431,0.000129317588296345,0.000353645419795324,0.000857027671890381,0.00122561056661439,0.335342668739388,0.00151816671814148,0.000427541026185943,0.000800084146731805,0.000155000039744561,3.53595346142385e-05,0.652725420202419,0.00114560244264245,0.000217410787617077
0.000130462700713036,0.000547590695868783,0.000139204197100137,8.82934325887573e-05,0.00405083895341878,0.000305060313813874,0.00051887246427326,0.000128733242907405,0.000371901189597794,0.000793042992222089,0.00106306115270509,0.399449173709786,0.00154860224235263,0.000347932239227593,0.000703508772093728,0.000162338612607753,3.81949091966967e-05,0.588138463583688,0.00127366654961432,0.000201058046224327
