"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35"
0.00018609925572888,0.00407389109155189,0.00392499634265131,0.0356189557486567,0.000659380695293174,0.017751201609947,0.00108816884665527,0.00043942515472357,0.00339945390622386,0.000173649960340387,0.00334286765535558,0.00315575943144211,0.00277163423551777,0.0734094438464637,0.00057508507366747,0.000498824524214872,0.00583348089742726,9.07165637240749e-05,0.567375395805545,0.00224224727793042,0.000543241270828691,0.0162545000580856,0.00871251873100164,0.000281458060811126,0.0723069095186815,0.0103598321971313,0.00163448238726581,0.00482100851727633,0.0242639600013367,0.00111266371038404,0.000406973422027767,0.0145457329384721,0.000266373451774033,0.000405633285015435,0.117474034526847
0.000535459091956623,0.00493189953284204,0.0419120126601308,0.0465519689747636,0.000556149376442001,0.019254863501491,0.0043298801796875,0.000686478964350749,0.0150644255516264,0.000211311079472782,0.00386417774116708,0.00193551851370513,0.00404971406271226,0.0928277286283547,0.00696315078467649,0.00689568990158565,0.0190384895454634,0.000117048063068679,0.57056117813085,0.00148295041791637,0.000838546794901272,0.00286689810069783,0.00865433065172003,0.000706479115805508,0.0614470414447591,0.0160226520554498,0.0084357753193705,0.0232369924821116,0.00460249576828032,0.00102493493090432,0.000136598847842625,0.00497113637453362,0.00279678047413507,0.00188629160846152,0.0206029513287633
0.00878698406775908,0.000687437496228681,0.00931537954526906,0.00914163510915689,0.00166509953344544,0.0148640579506972,0.0436166309924547,0.01377463753862,0.0157704968124807,0.164097630326783,0.00396781985053786,0.000931371796899678,0.00291585622838204,0.00977100956261153,0.0241793519088564,0.000544454051318189,0.00977569660579178,0.0012746003673866,0.000156832254791734,0.0042191599006061,0.0119906162109747,0.000417763927583284,0.0234418877452313,0.0080891793473382,0.00546963556381024,0.0157541405643862,0.00499870703081933,0.0425585233593419,0.0713270765812765,0.0238370762319478,0.421242579534692,0.00483030609891205,0.0171983539736758,0.00808954373957322,0.00129846819036086
0.00137583887587879,0.00487204261696618,0.0566100587960558,0.0956807733565544,0.0026871868070272,0.013613268431934,0.0443543575374339,0.0142805892823126,0.0407817140919853,0.168713115670895,0.00376218001682636,0.000837241763439569,0.0096540915248289,0.024234855572198,0.0311025401323628,0.000607303896725955,0.0553588682711036,0.00264980608186925,0.00757470434548907,0.00389684060044519,0.00610476151028449,0.00206965641591641,0.0594924477414861,0.00128761822761518,0.0614855431117183,0.00797017916674772,0.00346053920722008,0.0853584955523909,0.0745259288280835,0.00268473900448641,0.0652572035130134,0.0116224135619019,0.0243491977620575,0.00588120117872561,0.00580269754602109
0.00222211176658809,0.307577218094692,0.000976072423066272,0.0223418614810822,0.017847754962975,0.003978757020955,0.038700500552464,0.000779513939071525,0.00515537902362321,0.00112712789847803,0.015029419307439,0.0558407672810693,0.00264843852880346,0.149123790188794,0.000316152553537185,0.131556647413593,0.0190086800341991,0.00693607188884515,0.0206228321560246,0.00184361943892295,0.0109362545774981,0.00474493960232638,0.0548478914984071,0.0495238527286807,0.0104535535513685,0.00222945547728137,0.0152503860539901,0.00887957954689386,0.0110635415123683,0.0012771469697795,0.00066850312456997,0.0181768308292434,0.00273282798165059,0.00125462920227528,0.00432789138944428
0.00869468426563129,0.00308612523471483,0.266362411789952,0.0164524443741912,0.00297207533682297,0.00863043766256681,0.071637029277163,0.0745469205706741,0.00297554221427494,0.0576962767869612,0.0802090506894612,0.0023758053228301,0.00498114606335486,0.0701955717389248,0.119088214956244,0.000318971206364704,0.0172487044635368,0.0235188490222243,0.0028132628892673,0.00289791075167242,0.0104188937629245,0.00243420835426963,0.0234766043370958,0.00439814812434141,0.014429317705826,0.00397579813285511,0.0119877856575886,0.0382265754774076,0.0102942420456013,0.00839186639916566,0.00401236392539945,0.0257407371319775,0.00273534449879843,0.00102329756475983,0.00175338226515576
0.00019233061743924,0.0907907975971591,0.000991908650806538,0.0133666168442244,0.63166794304869,0.00366590837685352,0.0423868374694496,0.000694056720457329,0.00148120644610481,0.000945296288521358,0.00420104442955021,0.00442129968064,0.00071769952239257,0.0553740164729724,0.000304366671059141,0.00117300091624969,0.00593217715246059,0.00208451491487947,0.0045727971915564,0.00176556351704768,0.00685872307844571,0.00675197390607,0.0488587144137846,0.00156795541577181,0.00486606067919248,0.00311581406554152,0.0432674616942856,0.00508585428179273,0.00409838913092327,0.00063378520429346,0.000650476366861842,0.00548712926816877,0.000196442229124116,0.000447080224057873,0.00138475751317207
0.00199223898390556,0.000399333299780011,0.152068556946189,0.0225075571575814,0.00985512572630176,0.0184382897480231,0.0125020459405552,0.0148573219843319,0.036044955286273,0.0120365815939795,0.00220639449070465,0.0014717684974542,0.00855761611600153,0.00656616850652291,0.356840452249269,0.000627791272547523,0.0251380291565856,0.000730924394682237,0.00186863958643087,0.00680585786455894,0.0404153421407051,0.000188314838581179,0.0323901631603734,0.00473506238116312,0.0124753473846603,0.063563747483345,0.0292977231693091,0.0061029056036576,0.00552360262986187,0.0459844511130494,0.00246510238050866,0.010336093720551,0.0193730885617496,0.0324429029348393,0.00319050369596778
0.000582303781358865,0.000692817409128151,0.00219548379663468,0.00341983607441854,0.000264152565574688,0.000554312334034926,0.0210715731194929,0.00127275539821334,0.000685501868071259,0.00119781357277899,0.0156207321481829,0.00466613847587518,0.000280230456106508,0.00343107611665464,0.00209233311181497,0.000293287976392093,0.000519202252139134,0.000389039141827774,0.00448909140014219,0.00013282832728117,0.000437798822662709,0.779818706651989,0.00401174428080929,0.000649958116543627,0.140635887457234,0.000457600273589017,0.00068159034475056,0.000272715932168355,0.00315747068223812,0.000921219486520476,0.000458598834388453,0.00107083317435265,0.000236584454159701,0.000200787862631127,0.00313799429983948
0.000601339921119239,0.000586230124781818,0.00222726405468666,0.00371744742057181,0.000227099517868017,0.00111165258219817,0.0153821860774414,0.00105178514121955,0.000944307820941419,0.000865463164945382,0.00445297253156268,0.00176559686897626,0.000322445656218789,0.00237821317448738,0.00172832252597163,0.000282565347301335,0.000658790300172555,0.000294310085419593,0.00219149647857221,0.000131338508289659,0.000325800925958895,0.725758709883304,0.00329240393019298,0.000383037669825078,0.217488105230604,0.000635770419594571,0.000568761511124414,0.000696733253741687,0.00367000632565055,0.000708879337015396,0.000325951756526658,0.000983079756519309,0.000293321867774905,0.000238871270957628,0.00370973955846515
