length_text,reading_score
592,11.91132423
536,18.01415385
331,20.74414894
417,12.8643367
417,12.8643367
215,19.86252874
863,13.99235225
863,13.71508772
333,13.71508772
331,16.30729167
219,19.86252874
219,16.32688525
495,16.32688525
495,20.74414894
606,15.00430622
606,15.00430622
333,16.30729167
333,15.86399326
574,19.06010852
473,19.06010852
473,10.96150538
703,14.07897959
703,15.86399326
574,16.8350672
308,12.24995912
308,16.8350672
287,14.07897959
719,14.64067361
719,14.64067361
327,14.06654447
327,14.66534837
287,14.66534837
563,14.84733607
563,14.84733607
323,14.06654447
323,12.24995912
830,16.85477607
471,16.85477607
905,16.76606796
905,16.76606796
575,16.67188974
575,12.67042095
830,12.67042095
686,16.38283669
686,16.58227106
423,15.17012465
423,18.47629289
299,17.8962892
299,15.7178645
314,15.7178645
314,16.49026989
375,13.49771223
411,13.49771223
341,17.83238095
341,10.65568783
602,14.82819896
602,14.82819896
553,18.47629289
742,15.67732299
742,15.67732299
775,14.90839474
517,14.90839474
614,15.30689977
614,15.30689977
688,11.13349593
517,11.13349593
550,13.49358974
143,15.55364557
143,14.2792801
271,15.55364557
271,21.19673653
688,21.19673653
430,15.88370183
430,13.49358974
316,13.7742
316,13.7742
302,15.42417293
708,15.42417293
708,15.88370183
722,14.2792801
302,13.68147027
262,13.68147027
377,15.94597203
377,15.94597203
87,12.39967054
87,12.39967054
722,16.74393836
302,16.74393836
302,17.22026016
114,11.04467308
114,16.44010028
190,11.04467308
190,13.37064748
345,13.37064748
345,15.98087912
178,17.22026016
178,20.62510823
696,20.62510823
696,16.6593815
737,16.6593815
737,17.36847945
314,16.44010028
314,17.36847945
538,15.98087912
538,10.81856456
197,10.81856456
197,12.78377457
721,12.78377457
721,13.91595801
815,13.91595801
815,16.52147059
639,16.52147059
503,19.12465596
179,16.85343767
179,16.25484058
639,16.25484058
136,12.48336925
504,12.48336925
504,24.97266136
265,12.75285828
265,12.75285828
191,15.74423239
352,15.74423239
352,24.97266136
509,16.85343767
717,12.38955427
753,12.38955427
753,10.89558226
592,10.89558226
717,16.20309436
338,16.20309436
338,14.03474188
577,14.03474188
577,16.46480327
307,10.84912557
622,12.85981818
421,10.84912557
421,14.67489726
354,14.67489726
354,16.46480327
360,15.21762438
356,14.28911482
356,15.99298006
275,15.99298006
599,14.05981856
624,14.28911482
624,13.64257246
326,15.87055022
326,15.87055022
599,14.05981856
599,15.58428571
282,15.58428571
287,31.07931353
256,12.88086174
622,12.88086174
785,12.94503959
785,31.07931353
672,21.29737079
672,18.06382944
256,18.06382944
570,13.69063462
570,12.94503959
462,16.20185063
462,16.20185063
418,15.17152708
418,15.17152708
295,13.69063462
295,12.72228261
481,21.29737079
481,14.62682068
425,14.62682068
425,11.86386207
400,13.34585656
400,13.34585656
565,14.34066277
565,14.34066277
682,11.86386207
682,12.69515255
394,12.51352771
394,12.85981818
272,12.46527217
272,13.11012315
339,13.11012315
339,14.66573479
892,14.66573479
892,17.8962892
912,17.83238095
912,13.3126087
724,13.3126087
260,12.09968247
260,10.2418
337,13.13534653
337,13.13534653
724,13.07159102
237,13.79704357
237,10.51393939
331,16.61349259
331,16.61349259
400,13.62058496
400,10.51393939
738,13.03681013
738,15.55181386
589,13.03681013
589,16.75656528
178,13.62058496
178,9.535151515
683,17.9319121
1024,17.9319121
1024,12.09968247
784,30.77597345
784,30.77597345
362,14.71045045
683,15.55181386
327,15.86501718
327,15.86501718
408,33.8344385
362,14.71045045
211,14.49206897
211,14.49206897
365,11.87170122
346,11.87170122
408,18.91883701
108,18.91883701
108,19.12465596
394,11.0673183
394,14.3179703
463,14.3179703
463,14.46528376
423,17.34766892
423,17.34766892
241,16.71507937
241,16.71507937
358,14.46528376
358,14.54307395
602,14.54307395
602,11.0673183
452,14.18996032
718,17.10297935
718,17.10297935
496,15.08327228
496,15.08327228
539,14.18996032
539,13.71142857
452,13.71142857
826,14.0325
826,15.69390582
447,13.10942857
178,15.69390582
178,16.62854654
249,16.62854654
249,14.39175
348,14.0325
639,16.20209347
639,16.20209347
447,14.39175
560,15.12414439
560,15.12414439
575,13.87390476
575,11.11015988
291,16.49637681
564,16.49637681
564,12.04071429
245,12.04071429
245,13.15633459
218,11.11015988
218,18.62316297
465,18.62316297
465,14.84505807
658,13.87390476
658,14.84505807
692,13.15633459
385,18.97082278
385,18.97082278
353,45.55684211
353,45.55684211
692,13.95492079
619,13.95492079
