"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
0.445059711596655,0.000235031347451903,0.0117192619003902,0.00382121401125399,0.00811085547753696,0.00181088539730078,0.000273578299330359,0.00010893999139239,0.00318695660005214,0.000860289149459124,0.000728965223149666,0.471210535189903,0.000549902361278656,0.000383147841166968,0.051940725613679
0.57034035985652,0.000375149716252077,0.0237916755308568,0.00605752715449745,0.01684731318011,0.00105106039122907,0.000300541734293557,0.000248025011619611,0.0117032527913324,0.00256702191974502,0.000746775724845815,0.238109034506031,0.000838175952634116,0.00494644869039095,0.122077637839642
0.00622249111158212,0.00553668010315109,0.0298546857632072,0.113015637276456,0.0521068818253632,0.101877290813668,0.371214046198128,0.198628533379641,0.00955432168239778,0.00659444872744757,0.00245629870611219,0.0116376223110911,0.0102411893509722,0.00612702932211896,0.0749328434286633
0.072937459986595,0.00641479622738803,0.0334703271360562,0.021011652730367,0.132877125414227,0.258325286526031,0.0923704758449906,0.0426024457040813,0.01979009784163,0.0228395181831826,0.0106093708688518,0.0345513422090555,0.00317123130280649,0.021142591575865,0.227886278448872
0.00499703396575343,0.0329482087778549,0.00821463651089881,0.118830669941248,0.0397573618625719,0.000491400438836787,0.0058303356187392,0.0146125336594168,0.686146860032199,0.00355753573625872,0.00356520073969251,0.00382193515600468,0.00592441810899066,0.0612088389033455,0.0100930305481888
0.0298027161192443,0.00253102085050115,0.0486148342506106,0.235367565950609,0.0476201526021082,0.242420250974396,0.00944330929702461,0.0261030688542538,0.00929054694717599,0.00303324891784458,0.00616595676359585,0.013831864320823,0.0850648333525324,0.0209306388643096,0.219779991934971
0.00290249279350608,0.0155846734930236,0.0108401189940523,0.00706952264123584,0.00994641158826204,0.00110031821391364,0.000893225559385851,0.00248520135214446,0.136353275264047,0.0187774141852456,0.787649166557886,0.00182888234188069,0.000409170104474913,0.000663413764811115,0.00349671314613089
0.00981062275951103,0.0342674768138154,0.188054699918966,0.00544820736921159,0.0807648441593191,0.490930375261711,0.00162205218152635,0.00780684980851876,0.00382381633863558,0.0485983594711053,0.0195956360163623,0.00148575693373066,0.00714389607902629,0.00804454398162483,0.092602862906936
0.00422722644901126,5.35427206005369e-05,0.00056199390235249,0.00258499740538574,0.000675443711918366,0.000558219218666859,0.000561710688670602,0.000489881018951694,0.00135737349804747,5.26293384354862e-05,1.19247816345019e-05,0.987714350177082,0.000347940237047313,0.000190686448669899,0.00061208040352618
0.00510482789464203,0.00010495874768425,0.000944186086631779,0.00326081666259639,0.00138758529340172,0.000785888241736514,0.0012149140197893,0.000769283015939559,0.00214728820445739,0.000123136981984757,1.81163331327448e-05,0.982135483099683,0.00049932003121634,0.000303997273391887,0.00120019811371219
0.268247698198302,0.000564392639435028,0.122942613714657,0.0017916746637902,0.0533468965807445,0.000240717841167416,0.00024106065036055,7.8774276537121e-05,0.00770181833859771,0.390716804755617,0.0017201352583578,0.121479217720063,0.00160694285502848,0.00221305577121763,0.0271081967361239
0.00329262246194512,0.00211049944822697,0.153315977212201,0.00587655758818293,0.0213080842203905,0.133235785418072,0.000885768761413309,0.00273886280928591,0.00187949490047927,0.496999867502596,0.00635963182517819,0.00134597671980373,0.0890297366478659,0.00209499459217428,0.0795261398921848
0.0502727507129981,0.00135756129144782,0.0180638375194212,0.0376766878314794,0.0593609449921089,0.00448458828134891,0.0263664601864004,0.00421386173918651,0.0602839492245681,0.00173643685419608,0.00162476326730366,0.710945422853233,0.00251224762584681,0.00369647342600975,0.0174040141944518
