"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0.00049341265026838,0.000562163372729447,0.000840080292891236,0.00170568119757839,0.553171787874044,0.00143772360586224,0.0013923225173784,0.0177566563045305,0.421597535053772,0.00104263713094532
0.00261999014746744,0.00104229961797228,0.00126864321528338,0.00729578091857094,0.464936353487278,0.00299163244527324,0.00154769725631919,0.10924608599103,0.396967706313886,0.0120838106069197
0.0185120580706728,0.772536862569334,0.00607322654608147,0.0156549005116929,0.00222911777986455,0.0917093444307771,0.00337070879118766,0.059110673370994,0.0181394891886401,0.012663618740755
0.00903521153562125,0.238016750418306,0.00806141868277164,0.0520679241435527,0.0610097972227612,0.237790929818231,0.00259422142585772,0.202175095908473,0.161826855500384,0.0274217953440416
0.0127941549683056,0.0235945182809799,0.036495137043928,0.0085628977679829,0.0143720885354429,0.00200658325801143,0.316129156157469,0.0202148041992146,0.263597099421166,0.302233560367499
0.113299096466392,0.0697883777130098,0.0100267868892888,0.00957022748895612,0.0201598733441002,0.542149654221162,0.0138998446391475,0.0613358714373547,0.152251693220684,0.00751857457990396
0.000712313376287345,0.00377359025739736,0.869750349475347,0.00578340002013762,0.00361195798284501,0.00299566982103904,0.0553536839525987,0.00949724127895045,0.0448560167700836,0.00366577706531315
0.00620174464254312,0.0224927895332245,0.0388713781410129,0.0822302301591619,0.00186205033653526,0.54307910517921,0.00145244463545449,0.246242289219811,0.015139043613866,0.0424289245391812
0.000349071353035113,0.000754023475935351,0.000106009980865157,0.000124891272758248,0.991646383263394,0.000447097870575558,0.00075853708676272,0.00067723801014692,0.00476930382255754,0.000367443863969251
0.000368297019423342,0.000956527125699908,0.000125306663243337,0.00015562390219743,0.98719115642942,0.000446581748532735,0.000882704010761654,0.000816266915306926,0.00862434125493545,0.00043319493047836
0.003172483329094,0.00011781707843297,0.00363326501489047,0.488581038143783,0.290308975179575,0.00265392699541352,0.00213220301357667,0.179828208071983,0.024636301704905,0.00493578146834633
0.0744434188843256,0.00389290824351959,0.0175200493948078,0.570060662774977,0.0021232971777192,0.19205650622586,0.00316392860068999,0.126413256094572,0.00714003242633531,0.00318594017719319
0.00410247819676071,0.0524073596880815,0.00282345062742553,0.00183249047278895,0.805302638575648,0.0255629471480747,0.0229774887117271,0.0102470385758143,0.0698490564060563,0.00489505159762235
0.004689396989178,0.0080270272933377,0.137915041916921,0.0128610264246664,0.00170461836442874,0.537866784281428,0.00168079069994727,0.268546301094397,0.020162461642587,0.00654655129310886
0.0461701881305014,0.0871820656467666,0.0137112479457946,0.0190446091336497,0.0616206454278725,0.524285564657331,0.0539289052809065,0.0767657866014902,0.106907332348105,0.0103836548275828
0.0600474992873407,0.00529401051175534,0.00516928818299356,0.105534871614258,0.00846710842935014,0.423397825664737,0.00133457549869324,0.254109556911628,0.133812166955851,0.0028330969433928
0.0571238031120224,0.0914750690614202,0.00481979546891366,0.00683728349223835,0.000983265579151746,0.419244028733902,0.00110181379695886,0.317679412804553,0.0155279599186767,0.085207568032163
0.0470376381272462,0.00216830499593651,0.0458697790049089,0.660711194539454,0.00179486524345991,0.0117625725576677,0.00481115622172546,0.162755338495426,0.00998814485480739,0.0531010059593687
0.0183793791444275,0.0383325885372073,0.0556496563445974,0.0136045984949011,0.00675827564450224,0.758212447203669,0.00860273432540438,0.0744624623169489,0.0170657751848625,0.00893208280347956
0.0725928922085123,0.173570186862644,0.00297845513135291,0.0261616826985405,0.00460192723229239,0.0429935913010971,0.347122085883191,0.0138051838256611,0.305080745265201,0.0110932495915073
0.0327025684285125,0.0803458853616484,0.0392487505315067,0.0442151810236863,0.0565710254727027,0.0136374612594087,0.220697969868198,0.0419752442853855,0.23694790031601,0.233658013452942
0.00386246113410159,0.00533876527755551,0.011828589606855,0.0244797404391549,0.0100849595935586,0.204812689448711,0.000779410773926074,0.626807552671053,0.105923809097084,0.00608202195800041
0.000889045530781968,0.00061307978300727,0.942208075503218,0.00562566832739796,0.000643990504454703,0.00255602379728366,0.00332263011009904,0.0372571775984651,0.00395557996577497,0.00292872887951781
0.0725928922085123,0.173570186862644,0.00297845513135291,0.0261616826985405,0.00460192723229239,0.0429935913010971,0.347122085883191,0.0138051838256611,0.305080745265201,0.0110932495915073
0.100332190359644,0.261267181877792,0.00458052755819851,0.00237882674419651,0.00451423038311091,0.00361054788423212,0.0534482739402892,0.0144505794212922,0.0106831905851856,0.54473445124606
0.164331774916526,0.00417425547996544,0.00487900683292713,0.00387533969158374,0.00163437444588004,0.00239243577677729,0.752267077008176,0.0176861388465227,0.00750615200697903,0.0412534449946628
0.0616455840764671,0.0661140159342168,0.00849406537812176,0.00749267558257263,0.00102416946459574,0.414370043850236,0.00156908406957239,0.304029158664786,0.0163574653372054,0.118903737642226
0.0800663680360229,0.0609412960150123,0.00487483890067468,0.00697018213800894,0.00102275935335557,0.432141102984384,0.00116774875832727,0.314727513129623,0.0147362681210873,0.0833519225635045
0.00862174993905227,0.0335394906490523,0.0145104739641529,0.00502520618740471,0.0134906491080508,0.0225414378992803,0.555301259830952,0.0124671345327047,0.278371885826863,0.056130712062487
